rock,Pe,state,PV,reff,reff_over_r
Beadpack,1,initial,0,1.3e-06,0.001610556
Beadpack,1,final,2000,3.38e-07,0.000417219
Beadpack,5,initial,0,2.24e-06,0.00277058
Beadpack,5,final,2000,1.86e-06,0.00229237
Beadpack,10,initial,0,3.63e-06,0.004484556
Beadpack,10,final,2000,3.66e-06,0.004513815
Beadpack,20,initial,0,6.6e-06,0.008150136
Beadpack,20,final,2000,7.07e-06,0.008733284
Beadpack,50,initial,0,1.59e-05,0.019663951
Beadpack,50,final,2000,1.73e-05,0.02140037
Beadpack,100,initial,0,3.15e-05,0.038946296
Beadpack,100,final,2000,3.39e-05,0.041823086
Beadpack,500,initial,0,0.000143,0.176574074
Beadpack,500,final,2000,0.000136,0.168453086
Beadpack,1000,initial,0,0.000243,0.299385185
Beadpack,1000,final,2000,0.000218,0.269562963
Ketton,1,initial,0,1.37e-06,0.001688617
Ketton,1,final,2000,2.63e-07,0.000324142
Ketton,5,initial,0,1.61e-06,0.001988926
Ketton,5,final,2000,7.44e-07,0.000918158
Ketton,10,initial,0,1.97e-06,0.00242779
Ketton,10,final,2000,1.06e-06,0.001312654
Ketton,20,initial,0,2.75e-06,0.003395864
Ketton,20,final,2000,1.47e-06,0.001811914
Ketton,50,initial,0,5.26e-06,0.006499506
Ketton,50,final,2000,3.68e-06,0.004540889
Ketton,100,initial,0,9.54e-06,0.01178121
Ketton,100,final,2000,7.25e-06,0.008949728
Ketton,500,initial,0,4.27e-05,0.052719506
Ketton,500,final,2000,2.95e-05,0.03648037
Ketton,1000,initial,0,7.78e-05,0.096075802
Ketton,1000,final,2000,5.5e-05,0.067904938
Estaillades,1,initial,0,1.89e-06,0.002333333
Estaillades,1,final,2000,2.33e-07,0.000288046
Estaillades,5,initial,0,2.05e-06,0.002533753
Estaillades,5,final,2000,6.17e-07,0.000761981
Estaillades,10,initial,0,2.29e-06,0.00282821
Estaillades,10,final,2000,9.12e-07,0.001126219
Estaillades,20,initial,0,2.8e-06,0.003453716
Estaillades,20,final,2000,1.28e-06,0.001584074
Estaillades,50,initial,0,4.4e-06,0.005425938
Estaillades,50,final,2000,1.95e-06,0.002411296
Estaillades,100,initial,0,7.06e-06,0.008711111
Estaillades,100,final,2000,2.64e-06,0.003259877
Estaillades,500,initial,0,2.78e-05,0.034308272
Estaillades,500,final,2000,5.96e-06,0.007354457
Estaillades,1000,initial,0,4.7e-05,0.058038642
Estaillades,1000,final,2000,1.02e-05,0.012615062
C1,1,initial,0,1.99e-06,0.00245679
C1,1,final,2000,3.53e-07,0.000435802
C1,5,initial,0,2.54e-06,0.003135802
C1,5,final,2000,1.26e-06,0.001555556
C1,10,initial,0,3.31e-06,0.00408642
C1,10,final,2000,2.14e-06,0.002641975
C1,20,initial,0,4.94e-06,0.006098765
C1,20,final,2000,3.09e-06,0.003814815
C1,50,initial,0,9.75e-06,0.012037037
C1,50,final,2000,6.2e-06,0.007654321
C1,100,initial,0,1.72e-05,0.021234568
C1,100,final,2000,1.04e-05,0.012839506
C1,500,initial,0,6.56e-05,0.080987654
C1,500,final,2000,4.25e-05,0.052469136
C1,1000,initial,0,9.37e-05,0.115679012
C1,1000,final,2000,6.05e-05,0.074691358
